date,weight
1-Dec-14,3.69
1-Nov-14,3.682
1-Oct-14,3.685
1-Sep-14,3.684
1-Aug-14,3.685
1-Jul-14,3.683
1-Jun-14,3.68
1-May-14,3.686
1-Apr-14,3.691
1-Mar-14,3.679
1-Feb-14,3.68
1-Jan-14,3.675
1-Dec-13,3.686
1-Nov-13,3.686
1-Oct-13,3.683
1-Sep-13,3.685
1-Aug-13,3.699
1-Jul-13,3.697
1-Jun-13,3.702
1-May-13,3.712
1-Apr-13,3.713
1-Mar-13,3.716
1-Feb-13,3.728
1-Jan-13,3.738
1-Dec-12,3.746
1-Nov-12,3.749
1-Oct-12,3.745
1-Sep-12,3.741
1-Aug-12,3.74
1-Jul-12,3.734
1-Jun-12,3.73
1-May-12,3.731
1-Apr-12,3.725
1-Mar-12,3.719
1-Feb-12,3.716
1-Jan-12,3.704
