date,stillbirth,abudhabi,ajman,dubai,fuj,rak,sharjah,uaq
1/12/2014,0.710,0.564,0.982,0.630,0.000,1.087,1.337,0.000
1/11/2014,0.660,0.544,1.667,0.576,0.888,0.549,0.549,1.786
1/10/2014,0.530,0.419,0.770,0.566,0.583,0.491,0.638,0.000
1/9/2014,0.520,0.651,0.455,0.479,0.000,0.546,0.366,1.923
1/8/2014,0.600,0.651,0.709,0.574,0.297,0.483,0.621,0.000
1/7/2014,0.630,0.437,0.920,0.820,0.551,0.763,0.552,0.000
1/6/2014,0.810,0.905,0.612,0.942,0.275,0.529,0.577,1.639
1/5/2014,0.750,0.786,1.389,0.647,0.496,0.765,0.636,0.000
1/4/2014,0.670,0.660,0.909,0.717,0.580,0.580,0.572,0.000
1/3/2014,0.610,0.611,0.433,0.480,0.543,1.263,0.836,0.000
1/2/2014,0.780,0.639,1.174,0.739,0.568,0.796,1.146,0.000
1/1/2014,0.780,0.643,1.255,1.018,0.267,0.922,0.441,0.000
1/12/2013,0.690,0.705,0.624,0.772,0.275,0.800,0.529,2.083
1/11/2013,0.670,0.700,0.924,0.598,1.437,0.270,0.381,1.961
1/10/2013,0.640,0.611,0.462,0.690,0.279,1.653,0.532,0.000
1/9/2013,0.700,0.761,0.843,0.623,0.554,0.265,0.829,0.000
1/8/2013,0.830,0.865,0.444,0.967,1.099,0.533,0.661,0.000
1/7/2013,0.760,0.743,1.114,0.704,0.247,1.699,0.632,0.000
1/6/2013,0.740,0.702,0.884,0.695,0.556,1.749,0.666,0.000
1/5/2013,0.910,0.827,1.199,0.736,0.845,2.778,0.655,1.667
1/4/2013,0.790,0.891,0.452,0.596,0.000,3.351,0.548,0.000
1/3/2013,0.910,0.804,0.292,0.919,0.571,2.850,1.084,0.000
1/2/2013,0.740,0.571,1.163,0.727,1.338,0.952,0.851,0.000
1/1/2013,0.700,0.637,0.755,0.470,0.268,2.475,0.791,2.041
1/12/2012,1.000,0.810,1.601,0.729,1.075,3.178,1.061,0.000
1/11/2012,0.810,0.694,0.726,0.835,0.597,2.156,0.750,0.000
1/10/2012,0.780,0.809,0.143,0.847,0.525,2.239,0.465,1.754
1/9/2012,0.550,0.636,0.581,0.547,0.326,1.272,0.093,0.000
1/8/2012,0.870,0.731,1.045,0.766,1.420,3.343,0.446,1.587
1/7/2012,0.850,0.632,1.329,0.590,0.548,1.772,1.644,0.000
1/6/2012,0.870,1.057,0.784,0.530,0.270,3.581,0.386,0.000
1/5/2012,0.660,0.710,0.429,0.666,0.645,1.626,0.365,0.000
1/4/2012,0.790,0.675,0.635,0.670,0.573,2.030,1.078,1.754
1/3/2012,0.850,0.844,0.708,0.635,0.292,2.332,1.102,1.786
1/2/2012,0.600,0.594,0.968,0.642,0.312,0.302,0.398,1.961
1/1/2012,0.680,0.538,0.919,0.788,0.000,1.333,0.634,2.083
