date,weight,cesarean,stillborn,atrio,cleft,down,rectal
1-Dec-14,3.69,0.2453,0.0071,0.001,0.0007,0.0011,0.0004
1-Nov-14,3.682,0.2502,0.0066,0.0002,0.0006,0.0011,0.0004
1-Oct-14,3.685,0.2525,0.0053,0.0006,0.0006,0.0008,0.0007
1-Sep-14,3.684,0.2463,0.0052,0.0002,0.0007,0.0017,0.0002
1-Aug-14,3.685,0.2487,0.006,0.0006,0.0013,0.002,0.0009
1-Jul-14,3.683,0.2378,0.0063,0.0006,0.001,0.0012,0.0002
1-Jun-14,3.68,0.2485,0.0081,0.0002,0.001,0.0013,0.0001
1-May-14,3.686,0.2473,0.0075,0.0004,0.0019,0.0013,0.0004
1-Apr-14,3.691,0.241,0.0067,0.0001,0.0012,0.0025,0.0004
1-Mar-14,3.679,0.2494,0.0061,0.0008,0.0012,0.0014,0.0006
1-Feb-14,3.68,0.2454,0.0078,0.0003,0.0013,0.0014,0.0007
1-Jan-14,3.675,0.238,0.0078,0.001,0.001,0.0014,0.0007
1-Dec-13,3.686,0.2388,0.0069,0.0005,0.001,0.002,0.0001
1-Nov-13,3.686,0.2425,0.0067,0.0004,0.001,0.0011,0
1-Oct-13,3.683,0.2496,0.0064,0.0004,0.0011,0.0015,0.0008
1-Sep-13,3.685,0.2478,0.007,0.0006,0.0006,0.0011,0.0002
1-Aug-13,3.699,0.2478,0.0083,0,0.0011,0.0014,0.0002
1-Jul-13,3.697,0.2468,0.0076,0.0003,0.001,0.0019,0.0002
1-Jun-13,3.702,0.2474,0.0074,0.0002,0.0006,0.0013,0.0002
1-May-13,3.712,0.2437,0.0091,0.0001,0.0013,0.0007,0.0002
1-Apr-13,3.713,0.2538,0.0079,0.0007,0.0004,0.0017,0.001
1-Mar-13,3.716,0.2561,0.0091,0.0007,0.0009,0.0013,0.0004
1-Feb-13,3.728,0.2519,0.0074,0.0005,0.001,0.0007,0.0007
1-Jan-13,3.738,0.2436,0.007,0.0004,0.0011,0.0017,0.0005
1-Dec-12,3.746,0.2456,0.01,0.0007,0.0011,0.0009,0.0006
1-Nov-12,3.749,0.2564,0.0081,0.0005,0.0011,0.0018,0.0002
1-Oct-12,3.745,0.2483,0.0078,0.0002,0.0014,0.0013,0.0004
1-Sep-12,3.741,0.2579,0.0055,0.0006,0.0006,0.0013,0.0007
1-Aug-12,3.74,0.2501,0.0087,0.0004,0.0007,0.0012,0.0004
1-Jul-12,3.734,0.2569,0.0085,0.0002,0.0014,0.001,0.0003
1-Jun-12,3.73,0.2427,0.0087,0.0005,0.0011,0.0008,0.0008
1-May-12,3.731,0.2499,0.0066,0.0005,0.0012,0.0011,0.0002
1-Apr-12,3.725,0.238,0.0079,0.0004,0.0015,0.001,0.0002
1-Mar-12,3.719,0.249,0.0085,0.0005,0.0015,0.0017,0.0008
1-Feb-12,3.716,0.2482,0.006,0.0008,0.0005,0.0005,0.0004
1-Jan-12,3.704,0.2475,0.0068,0.0009,0.0013,0.0013,0.0006
