date,weight,abudhabi,ajman,dubai,fuj,rak,sharjah,uaq
1-12-14,3.69,3.694,3.692,3.698,3.736,3.483,3.712,3.624
1-11-14,3.682,3.696,3.682,3.687,3.703,3.465,3.698,3.675
1-10-14,3.685,3.695,3.695,3.697,3.712,3.437,3.698,3.722
1-9-14,3.684,3.689,3.696,3.700,3.703,3.451,3.702,3.625
1-8-14,3.685,3.695,3.694,3.699,3.669,3.482,3.698,3.674
1-7-14,3.683,3.689,3.690,3.699,3.726,3.453,3.689,3.705
1-6-14,3.68,3.692,3.715,3.686,3.676,3.448,3.679,3.822
1-5-14,3.686,3.699,3.688,3.697,3.689,3.441,3.703,3.689
1-4-14,3.691,3.702,3.709,3.704,3.694,3.432,3.696,3.704
1-3-14,3.679,3.687,3.690,3.700,3.685,3.393,3.700,3.692
1-2-14,3.68,3.692,3.690,3.700,3.694,3.425,3.684,3.694
1-1-14,3.675,3.681,3.718,3.691,3.704,3.401,3.692,3.679
1-12-13,3.686,3.702,3.686,3.696,3.689,3.442,3.695,3.668
1-11-13,3.686,3.691,3.699,3.699,3.722,3.459,3.702,3.647
1-10-13,3.683,3.690,3.704,3.685,3.735,3.508,3.683,3.715
1-9-13,3.685,3.690,3.686,3.693,3.694,3.544,3.697,3.650
1-8-13,3.699,3.704,3.719,3.696,3.706,3.634,3.696,3.751
1-7-13,3.697,3.701,3.712,3.691,3.695,3.656,3.704,3.738
1-6-13,3.702,3.696,3.705,3.704,3.695,3.754,3.696,3.653
1-5-13,3.712,3.701,3.732,3.701,3.716,3.837,3.714,3.742
1-4-13,3.713,3.704,3.708,3.701,3.698,3.901,3.709,3.709
1-3-13,3.716,3.704,3.725,3.689,3.703,4.014,3.707,3.669
1-2-13,3.728,3.703,3.719,3.707,3.701,4.205,3.714,3.752
1-1-13,3.738,3.710,3.726,3.709,3.706,4.290,3.704,3.714
1-12-12,3.746,3.718,3.716,3.716,3.692,4.368,3.708,3.692
1-11-12,3.749,3.713,3.721,3.718,3.727,4.442,3.715,3.731
1-10-12,3.745,3.701,3.713,3.721,3.709,4.453,3.710,3.727
1-9-12,3.741,3.720,3.724,3.702,3.679,4.353,3.703,3.715
1-8-12,3.74,3.720,3.689,3.714,3.727,4.291,3.716,3.762
1-7-12,3.734,3.713,3.709,3.703,3.731,4.258,3.699,3.746
1-6-12,3.73,3.711,3.700,3.698,3.693,4.163,3.726,3.693
1-5-12,3.731,3.716,3.705,3.710,3.698,4.099,3.729,3.678
1-4-12,3.725,3.708,3.704,3.705,3.730,4.058,3.716,3.708
1-3-12,3.719,3.706,3.698,3.715,3.700,3.962,3.706,3.725
1-2-12,3.716,3.705,3.712,3.716,3.718,3.884,3.694,3.696
1-1-12,3.704,3.696,3.697,3.708,3.711,3.781,3.693,3.660
