date,cesarean,abudhabi,ajman,dubai,fuj,rak,sharjah,uaq
1/12/2014,24.5,23.7,26.2,24.9,25.1,21.5,25.8,28.2
1/11/2014,25.0,24.6,27.1,24.6,25.1,23.9,26.5,21.4
1/10/2014,25.2,23.8,29.6,26.9,24.5,22.4,24.8,17.0
1/9/2014,24.6,25.0,23.5,25.7,22.0,16.4,25.6,19.2
1/8/2014,24.9,22.7,29.5,26.2,25.8,21.5,26.0,26.7
1/7/2014,23.8,22.2,26.8,24.2,25.3,19.8,25.7,37.5
1/6/2014,24.9,24.4,26.1,25.9,20.7,23.5,24.3,32.8
1/5/2014,24.7,23.2,28.2,25.9,21.6,20.4,27.0,23.3
1/4/2014,24.1,23.9,26.7,23.4,24.6,24.6,24.6,23.4
1/3/2014,24.9,25.6,26.6,23.8,22.6,25.5,25.8,15.1
1/2/2014,24.5,25.2,27.7,23.5,20.7,24.1,24.7,17.8
1/1/2014,23.8,23.0,24.3,24.9,21.1,20.3,25.2,29.8
1/12/2013,23.9,23.3,25.7,24.5,22.0,23.5,23.8,25.0
1/11/2013,24.3,23.5,25.3,25.1,21.3,20.5,25.2,41.2
1/10/2013,25.0,24.5,27.2,25.0,23.5,22.9,26.1,22.4
1/9/2013,24.8,24.8,25.7,24.4,18.6,21.5,28.1,29.4
1/8/2013,24.8,24.6,26.1,24.2,19.8,23.7,28.3,20.3
1/7/2013,24.7,24.2,27.6,25.5,22.0,22.6,23.9,23.1
1/6/2013,24.7,24.4,28.4,24.7,25.3,22.4,23.8,32.7
1/5/2013,24.4,23.2,29.8,25.3,22.0,23.0,23.5,28.3
1/4/2013,25.4,25.4,24.7,26.7,22.7,22.2,24.8,23.1
1/3/2013,25.6,24.7,29.7,26.0,21.4,25.1,26.3,26.9
1/2/2013,25.2,24.1,27.1,25.3,23.7,24.1,28.1,24.4
1/1/2013,24.4,24.2,24.9,24.2,22.8,23.3,25.9,22.4
1/12/2012,24.6,23.9,26.2,24.9,22.0,27.6,24.4,21.2
1/11/2012,25.6,25.4,26.3,26.1,24.8,24.0,25.7,24.5
1/10/2012,24.8,23.5,26.3,25.2,21.8,26.9,27.4,24.6
1/9/2012,25.8,24.6,27.8,26.3,25.1,24.2,27.9,17.7
1/8/2012,25.0,23.9,27.8,24.7,23.6,29.5,25.8,33.3
1/7/2012,25.7,25.0,26.0,27.2,23.8,22.8,25.5,26.2
1/6/2012,24.3,23.7,26.3,25.7,19.7,25.3,22.2,32.7
1/5/2012,25.0,24.0,26.5,25.0,26.5,26.6,26.5,19.0
1/4/2012,23.8,23.6,27.3,24.0,21.8,23.1,23.4,12.3
1/3/2012,24.9,23.8,27.3,26.3,21.0,24.9,24.6,21.4
1/2/2012,24.8,23.9,29.0,25.6,20.9,23.9,24.6,25.5
1/1/2012,24.8,23.8,29.4,24.8,24.0,27.2,23.8,29.2
