date,weight,cesarean,stillborn,atrio,cleft,down,rectal
1-12-14,3.69,0.2453,0.0071,0.001,0.0007,0.0011,0.0004
1-11-14,3.682,0.2502,0.0066,0.0002,0.0006,0.0011,0.0004
1-10-14,3.685,0.2525,0.0053,0.0006,0.0006,0.0008,0.0007
1-9-14,3.684,0.2463,0.0052,0.0002,0.0007,0.0017,0.0002
1-8-14,3.685,0.2487,0.006,0.0006,0.0013,0.002,0.0009
1-7-14,3.683,0.2378,0.0063,0.0006,0.001,0.0012,0.0002
1-6-14,3.68,0.2485,0.0081,0.0002,0.001,0.0013,0.0001
1-5-14,3.686,0.2473,0.0075,0.0004,0.0019,0.0013,0.0004
1-4-14,3.691,0.241,0.0067,0.0001,0.0012,0.0025,0.0004
1-3-14,3.679,0.2494,0.0061,0.0008,0.0012,0.0014,0.0006
1-2-14,3.68,0.2454,0.0078,0.0003,0.0013,0.0014,0.0007
1-1-14,3.675,0.238,0.0078,0.001,0.001,0.0014,0.0007
1-12-13,3.686,0.2388,0.0069,0.0005,0.001,0.002,0.0001
1-11-13,3.686,0.2425,0.0067,0.0004,0.001,0.0011,0
1-10-13,3.683,0.2496,0.0064,0.0004,0.0011,0.0015,0.0008
1-9-13,3.685,0.2478,0.007,0.0006,0.0006,0.0011,0.0002
1-8-13,3.699,0.2478,0.0083,0,0.0011,0.0014,0.0002
1-7-13,3.697,0.2468,0.0076,0.0003,0.001,0.0019,0.0002
1-6-13,3.702,0.2474,0.0074,0.0002,0.0006,0.0013,0.0002
1-5-13,3.712,0.2437,0.0091,0.0001,0.0013,0.0007,0.0002
1-4-13,3.713,0.2538,0.0079,0.0007,0.0004,0.0017,0.001
1-3-13,3.716,0.2561,0.0091,0.0007,0.0009,0.0013,0.0004
1-2-13,3.728,0.2519,0.0074,0.0005,0.001,0.0007,0.0007
1-1-13,3.738,0.2436,0.007,0.0004,0.0011,0.0017,0.0005
1-12-12,3.746,0.2456,0.01,0.0007,0.0011,0.0009,0.0006
1-11-12,3.749,0.2564,0.0081,0.0005,0.0011,0.0018,0.0002
1-10-12,3.745,0.2483,0.0078,0.0002,0.0014,0.0013,0.0004
1-9-12,3.741,0.2579,0.0055,0.0006,0.0006,0.0013,0.0007
1-8-12,3.74,0.2501,0.0087,0.0004,0.0007,0.0012,0.0004
1-7-12,3.734,0.2569,0.0085,0.0002,0.0014,0.001,0.0003
1-6-12,3.73,0.2427,0.0087,0.0005,0.0011,0.0008,0.0008
1-5-12,3.731,0.2499,0.0066,0.0005,0.0012,0.0011,0.0002
1-4-12,3.725,0.238,0.0079,0.0004,0.0015,0.001,0.0002
1-3-12,3.719,0.249,0.0085,0.0005,0.0015,0.0017,0.0008
1-2-12,3.716,0.2482,0.006,0.0008,0.0005,0.0005,0.0004
1-1-12,3.704,0.2475,0.0068,0.0009,0.0013,0.0013,0.0006
