date,population
1/12/2014,8341
1/11/2014,8424
1/10/2014,8539
1/9/2014,8089
1/8/2014,8484
1/7/2014,8310
1/6/2014,8250
1/5/2014,8408
1/4/2014,8158
1/3/2014,8567
1/2/2014,7690
1/1/2014,8635
1/12/2013,8416
1/11/2013,8119
1/10/2013,8445
1/9/2013,8310
1/8/2013,8470
1/7/2013,8633
1/6/2013,8209
1/5/2013,8392
1/4/2013,8121
1/3/2013,8426
1/2/2013,7653
1/1/2013,8473
1/12/2012,8465
1/11/2012,8195
1/10/2012,8553
1/9/2012,8228
1/8/2012,8460
1/7/2012,8629
1/6/2012,7963
1/5/2012,8475
1/4/2012,8192
1/3/2012,8574
1/2/2012,7850
1/1/2012,8545
